# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v2.7 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-04-06T00:00:00.0
# Date end (ISO 8601): 2016-04-09T00:00:00.0
# Latitude (positive North, ISO 19115): 1.3400
# Longitude (positive East, ISO 19115): 103.6800
# Altitude (m): 29.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-04-07T10:35:00.0/2016-04-07T10:36:00.0;3.1858;1.0421;0.3819;0.6602;2.7264
2016-04-07T10:36:00.0/2016-04-07T10:37:00.0;3.0882;0.9970;0.3567;0.6402;2.6270
2016-04-07T10:37:00.0/2016-04-07T10:38:00.0;2.9906;0.9522;0.3322;0.6200;2.5264
2016-04-07T10:38:00.0/2016-04-07T10:39:00.0;2.8930;0.9079;0.3084;0.5995;2.4246
2016-04-07T10:39:00.0/2016-04-07T10:40:00.0;2.7953;0.8641;0.2854;0.5787;2.3216
2016-04-07T10:40:00.0/2016-04-07T10:41:00.0;2.6975;0.8207;0.2630;0.5577;2.2176
2016-04-07T10:41:00.0/2016-04-07T10:42:00.0;2.5997;0.7778;0.2415;0.5363;2.1124
2016-04-07T10:42:00.0/2016-04-07T10:43:00.0;2.5018;0.7354;0.2207;0.5147;2.0062
2016-04-07T10:43:00.0/2016-04-07T10:44:00.0;2.4039;0.6936;0.2007;0.4929;1.8991
2016-04-07T10:44:00.0/2016-04-07T10:45:00.0;2.3059;0.6523;0.1816;0.4707;1.7912
2016-04-07T10:45:00.0/2016-04-07T10:46:00.0;2.2079;0.6116;0.1633;0.4483;1.6825
2016-04-07T10:46:00.0/2016-04-07T10:47:00.0;2.1099;0.5716;0.1460;0.4256;1.5733
2016-04-07T10:47:00.0/2016-04-07T10:48:00.0;2.0118;0.5322;0.1295;0.4027;1.4636
2016-04-07T10:48:00.0/2016-04-07T10:49:00.0;1.9137;0.5007;0.1148;0.3859;1.3639
2016-04-07T10:49:00.0/2016-04-07T10:50:00.0;1.8155;0.4725;0.1012;0.3713;1.2679
2016-04-07T10:50:00.0/2016-04-07T10:51:00.0;1.7173;0.4444;0.0885;0.3559;1.1715
2016-04-07T10:51:00.0/2016-04-07T10:52:00.0;1.6191;0.4165;0.0765;0.3400;1.0748
2016-04-07T10:52:00.0/2016-04-07T10:53:00.0;1.5209;0.3887;0.0654;0.3233;0.9779
2016-04-07T10:53:00.0/2016-04-07T10:54:00.0;1.4226;0.3611;0.0551;0.3060;0.8813
2016-04-07T10:54:00.0/2016-04-07T10:55:00.0;1.3243;0.3336;0.0457;0.2879;0.7853
2016-04-07T10:55:00.0/2016-04-07T10:56:00.0;1.2260;0.3064;0.0372;0.2692;0.6903
2016-04-07T10:56:00.0/2016-04-07T10:57:00.0;1.1276;0.2793;0.0296;0.2497;0.5969
2016-04-07T10:57:00.0/2016-04-07T10:58:00.0;1.0293;0.2525;0.0229;0.2296;0.5058
2016-04-07T10:58:00.0/2016-04-07T10:59:00.0;0.9309;0.2259;0.0171;0.2088;0.4178
2016-04-07T10:59:00.0/2016-04-07T11:00:00.0;0.8325;0.1996;0.0122;0.1874;0.3339
2016-04-07T11:00:00.0/2016-04-07T11:01:00.0;0.7341;0.1736;0.0083;0.1654;0.2556
2016-04-07T11:01:00.0/2016-04-07T11:02:00.0;0.6357;0.1480;0.0052;0.1428;0.1843
2016-04-07T11:02:00.0/2016-04-07T11:03:00.0;0.5372;0.1227;0.0029;0.1198;0.1220
2016-04-07T11:03:00.0/2016-04-07T11:04:00.0;0.4388;0.0979;0.0014;0.0966;0.0000
2016-04-07T11:04:00.0/2016-04-07T11:05:00.0;0.3403;0.0738;0.0005;0.0733;0.0000
2016-04-07T11:05:00.0/2016-04-07T11:06:00.0;0.2419;0.0503;0.0001;0.0502;0.0000
2016-04-07T11:06:00.0/2016-04-07T11:07:00.0;0.1434;0.0280;0.0000;0.0280;0.0000
2016-04-07T11:07:00.0/2016-04-07T11:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:08:00.0/2016-04-07T11:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:09:00.0/2016-04-07T11:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:10:00.0/2016-04-07T11:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:11:00.0/2016-04-07T11:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:12:00.0/2016-04-07T11:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:13:00.0/2016-04-07T11:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:14:00.0/2016-04-07T11:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:15:00.0/2016-04-07T11:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:16:00.0/2016-04-07T11:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:17:00.0/2016-04-07T11:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:18:00.0/2016-04-07T11:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:19:00.0/2016-04-07T11:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:20:00.0/2016-04-07T11:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:21:00.0/2016-04-07T11:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:22:00.0/2016-04-07T11:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:23:00.0/2016-04-07T11:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:24:00.0/2016-04-07T11:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:25:00.0/2016-04-07T11:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:26:00.0/2016-04-07T11:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:27:00.0/2016-04-07T11:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:28:00.0/2016-04-07T11:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:29:00.0/2016-04-07T11:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:30:00.0/2016-04-07T11:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:31:00.0/2016-04-07T11:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:32:00.0/2016-04-07T11:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:33:00.0/2016-04-07T11:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:34:00.0/2016-04-07T11:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:35:00.0/2016-04-07T11:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:36:00.0/2016-04-07T11:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:37:00.0/2016-04-07T11:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:38:00.0/2016-04-07T11:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:39:00.0/2016-04-07T11:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:40:00.0/2016-04-07T11:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:41:00.0/2016-04-07T11:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:42:00.0/2016-04-07T11:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:43:00.0/2016-04-07T11:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:44:00.0/2016-04-07T11:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:45:00.0/2016-04-07T11:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:46:00.0/2016-04-07T11:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:47:00.0/2016-04-07T11:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:48:00.0/2016-04-07T11:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:49:00.0/2016-04-07T11:50:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:50:00.0/2016-04-07T11:51:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:51:00.0/2016-04-07T11:52:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:52:00.0/2016-04-07T11:53:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:53:00.0/2016-04-07T11:54:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:54:00.0/2016-04-07T11:55:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:55:00.0/2016-04-07T11:56:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:56:00.0/2016-04-07T11:57:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:57:00.0/2016-04-07T11:58:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:58:00.0/2016-04-07T11:59:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T11:59:00.0/2016-04-07T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:00:00.0/2016-04-07T12:01:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:01:00.0/2016-04-07T12:02:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:02:00.0/2016-04-07T12:03:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:03:00.0/2016-04-07T12:04:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:04:00.0/2016-04-07T12:05:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:05:00.0/2016-04-07T12:06:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:06:00.0/2016-04-07T12:07:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:07:00.0/2016-04-07T12:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:08:00.0/2016-04-07T12:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:09:00.0/2016-04-07T12:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:10:00.0/2016-04-07T12:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:11:00.0/2016-04-07T12:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:12:00.0/2016-04-07T12:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:13:00.0/2016-04-07T12:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:14:00.0/2016-04-07T12:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:15:00.0/2016-04-07T12:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:16:00.0/2016-04-07T12:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:17:00.0/2016-04-07T12:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:18:00.0/2016-04-07T12:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:19:00.0/2016-04-07T12:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:20:00.0/2016-04-07T12:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:21:00.0/2016-04-07T12:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:22:00.0/2016-04-07T12:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:23:00.0/2016-04-07T12:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:24:00.0/2016-04-07T12:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:25:00.0/2016-04-07T12:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:26:00.0/2016-04-07T12:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:27:00.0/2016-04-07T12:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:28:00.0/2016-04-07T12:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:29:00.0/2016-04-07T12:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:30:00.0/2016-04-07T12:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:31:00.0/2016-04-07T12:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:32:00.0/2016-04-07T12:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:33:00.0/2016-04-07T12:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:34:00.0/2016-04-07T12:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:35:00.0/2016-04-07T12:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:36:00.0/2016-04-07T12:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:37:00.0/2016-04-07T12:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:38:00.0/2016-04-07T12:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:39:00.0/2016-04-07T12:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:40:00.0/2016-04-07T12:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:41:00.0/2016-04-07T12:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:42:00.0/2016-04-07T12:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:43:00.0/2016-04-07T12:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:44:00.0/2016-04-07T12:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:45:00.0/2016-04-07T12:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:46:00.0/2016-04-07T12:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:47:00.0/2016-04-07T12:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:48:00.0/2016-04-07T12:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:49:00.0/2016-04-07T12:50:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:50:00.0/2016-04-07T12:51:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:51:00.0/2016-04-07T12:52:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:52:00.0/2016-04-07T12:53:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:53:00.0/2016-04-07T12:54:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:54:00.0/2016-04-07T12:55:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:55:00.0/2016-04-07T12:56:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:56:00.0/2016-04-07T12:57:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:57:00.0/2016-04-07T12:58:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:58:00.0/2016-04-07T12:59:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T12:59:00.0/2016-04-07T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:00:00.0/2016-04-07T13:01:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:01:00.0/2016-04-07T13:02:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:02:00.0/2016-04-07T13:03:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:03:00.0/2016-04-07T13:04:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:04:00.0/2016-04-07T13:05:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:05:00.0/2016-04-07T13:06:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:06:00.0/2016-04-07T13:07:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:07:00.0/2016-04-07T13:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:08:00.0/2016-04-07T13:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:09:00.0/2016-04-07T13:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:10:00.0/2016-04-07T13:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:11:00.0/2016-04-07T13:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:12:00.0/2016-04-07T13:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:13:00.0/2016-04-07T13:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:14:00.0/2016-04-07T13:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:15:00.0/2016-04-07T13:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:16:00.0/2016-04-07T13:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:17:00.0/2016-04-07T13:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:18:00.0/2016-04-07T13:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:19:00.0/2016-04-07T13:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:20:00.0/2016-04-07T13:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:21:00.0/2016-04-07T13:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:22:00.0/2016-04-07T13:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:23:00.0/2016-04-07T13:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:24:00.0/2016-04-07T13:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:25:00.0/2016-04-07T13:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:26:00.0/2016-04-07T13:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:27:00.0/2016-04-07T13:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:28:00.0/2016-04-07T13:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:29:00.0/2016-04-07T13:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:30:00.0/2016-04-07T13:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:31:00.0/2016-04-07T13:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:32:00.0/2016-04-07T13:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:33:00.0/2016-04-07T13:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:34:00.0/2016-04-07T13:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:35:00.0/2016-04-07T13:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:36:00.0/2016-04-07T13:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:37:00.0/2016-04-07T13:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:38:00.0/2016-04-07T13:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:39:00.0/2016-04-07T13:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:40:00.0/2016-04-07T13:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:41:00.0/2016-04-07T13:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:42:00.0/2016-04-07T13:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:43:00.0/2016-04-07T13:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:44:00.0/2016-04-07T13:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:45:00.0/2016-04-07T13:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:46:00.0/2016-04-07T13:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:47:00.0/2016-04-07T13:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:48:00.0/2016-04-07T13:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:49:00.0/2016-04-07T13:50:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:50:00.0/2016-04-07T13:51:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:51:00.0/2016-04-07T13:52:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:52:00.0/2016-04-07T13:53:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:53:00.0/2016-04-07T13:54:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:54:00.0/2016-04-07T13:55:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:55:00.0/2016-04-07T13:56:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:56:00.0/2016-04-07T13:57:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:57:00.0/2016-04-07T13:58:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:58:00.0/2016-04-07T13:59:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T13:59:00.0/2016-04-07T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:00:00.0/2016-04-07T14:01:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:01:00.0/2016-04-07T14:02:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:02:00.0/2016-04-07T14:03:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:03:00.0/2016-04-07T14:04:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:04:00.0/2016-04-07T14:05:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:05:00.0/2016-04-07T14:06:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:06:00.0/2016-04-07T14:07:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:07:00.0/2016-04-07T14:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:08:00.0/2016-04-07T14:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:09:00.0/2016-04-07T14:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:10:00.0/2016-04-07T14:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:11:00.0/2016-04-07T14:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:12:00.0/2016-04-07T14:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:13:00.0/2016-04-07T14:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:14:00.0/2016-04-07T14:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:15:00.0/2016-04-07T14:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:16:00.0/2016-04-07T14:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:17:00.0/2016-04-07T14:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:18:00.0/2016-04-07T14:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:19:00.0/2016-04-07T14:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:20:00.0/2016-04-07T14:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:21:00.0/2016-04-07T14:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:22:00.0/2016-04-07T14:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:23:00.0/2016-04-07T14:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:24:00.0/2016-04-07T14:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:25:00.0/2016-04-07T14:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:26:00.0/2016-04-07T14:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:27:00.0/2016-04-07T14:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:28:00.0/2016-04-07T14:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:29:00.0/2016-04-07T14:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-04-07T14:30:00.0/2016-04-07T14:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
